route,day_num,day_name,month,avg_in,total_in
Route 8 Zion,0,Monday,2025-08,100.2,401
Route 1 Red Cliffs,1,Tuesday,2025-08,249.8,999
Route 3 West Side Connector,1,Tuesday,2025-08,291.0,1164
Route 4 Sunset,1,Tuesday,2025-08,197.8,791
Route 2 Riverside,1,Tuesday,2025-08,258.5,1034
Route 6 Dixie Dr South,1,Tuesday,2025-08,103.2,413
Route 5 Ivins,1,Tuesday,2025-08,75.8,303
Route 7 Washington,1,Tuesday,2025-08,95.8,383
Route 8 Zion,1,Tuesday,2025-08,90.0,360
Route 1 Red Cliffs,2,Wednesday,2025-08,259.5,1038
Route 3 West Side Connector,2,Wednesday,2025-08,276.5,1106
Route 4 Sunset,2,Wednesday,2025-08,198.8,795
Route 2 Riverside,2,Wednesday,2025-08,253.8,1015
Route 6 Dixie Dr South,2,Wednesday,2025-08,112.0,448
Route 5 Ivins,2,Wednesday,2025-08,82.0,328
Route 7 Washington,2,Wednesday,2025-08,104.0,416
Route 8 Zion,2,Wednesday,2025-08,95.0,380
Route 1 Red Cliffs,3,Thursday,2025-08,252.8,1011
Route 3 West Side Connector,3,Thursday,2025-08,285.2,1141
Route 4 Sunset,3,Thursday,2025-08,200.0,800
Route 2 Riverside,3,Thursday,2025-08,268.8,1075
Route 6 Dixie Dr South,3,Thursday,2025-08,101.5,406
Route 5 Ivins,3,Thursday,2025-08,76.2,305
Route 7 Washington,3,Thursday,2025-08,101.5,406
Route 8 Zion,3,Thursday,2025-08,87.0,348
Route 1 Red Cliffs,1,Tuesday,2025-09,210.6,1053
Route 3 West Side Connector,1,Tuesday,2025-09,245.4,1227
Route 4 Sunset,1,Tuesday,2025-09,166.8,834
Route 2 Riverside,1,Tuesday,2025-09,218.0,1090
Route 6 Dixie Dr South,1,Tuesday,2025-09,87.2,436
Route 5 Ivins,1,Tuesday,2025-09,64.0,320
Route 7 Washington,1,Tuesday,2025-09,80.8,404
Route 8 Zion,1,Tuesday,2025-09,76.0,380
Route 1 Red Cliffs,2,Wednesday,2025-09,229.0,916
Route 3 West Side Connector,2,Wednesday,2025-09,244.0,976
Route 4 Sunset,2,Wednesday,2025-09,175.5,702
Route 2 Riverside,2,Wednesday,2025-09,224.0,896
Route 6 Dixie Dr South,2,Wednesday,2025-09,99.0,396
Route 5 Ivins,2,Wednesday,2025-09,72.2,289
Route 7 Washington,2,Wednesday,2025-09,91.8,367
Route 8 Zion,2,Wednesday,2025-09,83.8,335
Route 1 Red Cliffs,3,Thursday,2025-09,215.5,862
Route 3 West Side Connector,3,Thursday,2025-09,243.2,973
Route 4 Sunset,3,Thursday,2025-09,170.5,682
Route 2 Riverside,3,Thursday,2025-09,229.2,917
Route 6 Dixie Dr South,3,Thursday,2025-09,86.5,346
Route 5 Ivins,3,Thursday,2025-09,65.0,260
Route 7 Washington,3,Thursday,2025-09,86.8,347
Route 8 Zion,3,Thursday,2025-09,74.2,297
Route 1 Red Cliffs,4,Friday,2025-09,222.2,889
Route 3 West Side Connector,4,Friday,2025-09,219.5,878
Route 4 Sunset,4,Friday,2025-09,175.0,700
Route 2 Riverside,4,Friday,2025-09,213.8,855
Route 6 Dixie Dr South,4,Friday,2025-09,94.8,379
Route 5 Ivins,4,Friday,2025-09,64.2,257
Route 7 Washington,4,Friday,2025-09,93.5,374
Route 8 Zion,4,Friday,2025-09,77.2,309
Route 1 Red Cliffs,5,Saturday,2025-09,189.8,759
Route 3 West Side Connector,5,Saturday,2025-09,212.8,851
Route 4 Sunset,5,Saturday,2025-09,144.0,576
Route 2 Riverside,5,Saturday,2025-09,213.2,853
Route 6 Dixie Dr South,5,Saturday,2025-09,79.0,316
Route 5 Ivins,5,Saturday,2025-09,56.5,226
Route 7 Washington,5,Saturday,2025-09,84.5,338
Route 8 Zion,5,Saturday,2025-09,79.5,318
Route 1 Red Cliffs,0,Monday,2025-09,228.0,912
Route 3 West Side Connector,0,Monday,2025-09,234.5,938
Route 4 Sunset,0,Monday,2025-09,175.8,703
Route 2 Riverside,0,Monday,2025-09,230.2,921
Route 6 Dixie Dr South,0,Monday,2025-09,88.8,355
Route 5 Ivins,0,Monday,2025-09,68.0,272
Route 7 Washington,0,Monday,2025-09,93.2,373
Route 8 Zion,0,Monday,2025-09,83.8,335
Route 1 Red Cliffs,2,Wednesday,2025-10,236.6,1183
Route 3 West Side Connector,2,Wednesday,2025-10,252.2,1261
Route 4 Sunset,2,Wednesday,2025-10,181.4,907
Route 2 Riverside,2,Wednesday,2025-10,231.4,1157
Route 6 Dixie Dr South,2,Wednesday,2025-10,102.2,511
Route 5 Ivins,2,Wednesday,2025-10,74.8,374
Route 7 Washington,2,Wednesday,2025-10,94.8,474
Route 8 Zion,2,Wednesday,2025-10,86.6,433
Route 1 Red Cliffs,3,Thursday,2025-10,223.6,1118
Route 3 West Side Connector,3,Thursday,2025-10,252.4,1262
Route 4 Sunset,3,Thursday,2025-10,177.0,885
Route 2 Riverside,3,Thursday,2025-10,238.0,1190
Route 6 Dixie Dr South,3,Thursday,2025-10,89.8,449
Route 5 Ivins,3,Thursday,2025-10,67.6,338
Route 7 Washington,3,Thursday,2025-10,90.0,450
Route 8 Zion,3,Thursday,2025-10,77.0,385
Route 1 Red Cliffs,4,Friday,2025-10,212.6,1063
Route 3 West Side Connector,4,Friday,2025-10,210.0,1050
Route 4 Sunset,4,Friday,2025-10,167.6,838
Route 2 Riverside,4,Friday,2025-10,204.4,1022
Route 6 Dixie Dr South,4,Friday,2025-10,90.6,453
Route 5 Ivins,4,Friday,2025-10,61.4,307
Route 7 Washington,4,Friday,2025-10,89.6,448
Route 8 Zion,4,Friday,2025-10,73.8,369
Route 1 Red Cliffs,5,Saturday,2025-10,157.5,630
Route 3 West Side Connector,5,Saturday,2025-10,176.5,706
Route 4 Sunset,5,Saturday,2025-10,119.5,478
Route 2 Riverside,5,Saturday,2025-10,177.0,708
Route 6 Dixie Dr South,5,Saturday,2025-10,65.5,262
Route 5 Ivins,5,Saturday,2025-10,47.0,188
Route 7 Washington,5,Saturday,2025-10,70.0,280
Route 8 Zion,5,Saturday,2025-10,66.0,264
Route 1 Red Cliffs,0,Monday,2025-10,217.8,871
Route 3 West Side Connector,0,Monday,2025-10,223.8,895
Route 4 Sunset,0,Monday,2025-10,167.8,671
Route 2 Riverside,0,Monday,2025-10,219.8,879
Route 6 Dixie Dr South,0,Monday,2025-10,84.8,339
Route 5 Ivins,0,Monday,2025-10,65.0,260
Route 7 Washington,0,Monday,2025-10,89.0,356
Route 8 Zion,0,Monday,2025-10,79.8,319
Route 1 Red Cliffs,1,Tuesday,2025-10,235.5,942
Route 3 West Side Connector,1,Tuesday,2025-10,274.5,1098
Route 4 Sunset,1,Tuesday,2025-10,186.5,746
Route 2 Riverside,1,Tuesday,2025-10,243.8,975
Route 6 Dixie Dr South,1,Tuesday,2025-10,97.5,390
Route 5 Ivins,1,Tuesday,2025-10,71.5,286
Route 7 Washington,1,Tuesday,2025-10,90.2,361
Route 8 Zion,1,Tuesday,2025-10,85.0,340
Route 1 Red Cliffs,5,Saturday,2025-11,164.2,821
Route 3 West Side Connector,5,Saturday,2025-11,184.0,920
Route 4 Sunset,5,Saturday,2025-11,124.6,623
Route 2 Riverside,5,Saturday,2025-11,184.6,923
Route 6 Dixie Dr South,5,Saturday,2025-11,68.4,342
Route 5 Ivins,5,Saturday,2025-11,49.0,245
Route 7 Washington,5,Saturday,2025-11,73.2,366
Route 8 Zion,5,Saturday,2025-11,68.8,344
Route 1 Red Cliffs,0,Monday,2025-11,221.2,885
Route 3 West Side Connector,0,Monday,2025-11,227.5,910
Route 4 Sunset,0,Monday,2025-11,170.5,682
Route 2 Riverside,0,Monday,2025-11,223.2,893
Route 6 Dixie Dr South,0,Monday,2025-11,86.2,345
Route 5 Ivins,0,Monday,2025-11,66.0,264
Route 7 Washington,0,Monday,2025-11,90.5,362
Route 8 Zion,0,Monday,2025-11,81.2,325
Route 1 Red Cliffs,1,Tuesday,2025-11,196.8,787
Route 3 West Side Connector,1,Tuesday,2025-11,229.2,917
Route 4 Sunset,1,Tuesday,2025-11,155.8,623
Route 2 Riverside,1,Tuesday,2025-11,203.5,814
Route 6 Dixie Dr South,1,Tuesday,2025-11,81.5,326
Route 5 Ivins,1,Tuesday,2025-11,59.8,239
Route 7 Washington,1,Tuesday,2025-11,75.5,302
Route 8 Zion,1,Tuesday,2025-11,71.0,284
Route 1 Red Cliffs,2,Wednesday,2025-11,209.0,836
Route 3 West Side Connector,2,Wednesday,2025-11,222.8,891
Route 4 Sunset,2,Wednesday,2025-11,160.2,641
Route 2 Riverside,2,Wednesday,2025-11,204.5,818
Route 6 Dixie Dr South,2,Wednesday,2025-11,90.2,361
Route 5 Ivins,2,Wednesday,2025-11,66.0,264
Route 7 Washington,2,Wednesday,2025-11,83.8,335
Route 8 Zion,2,Wednesday,2025-11,76.5,306
Route 1 Red Cliffs,3,Thursday,2025-11,224.0,672
Route 3 West Side Connector,3,Thursday,2025-11,252.7,758
Route 4 Sunset,3,Thursday,2025-11,177.3,532
Route 2 Riverside,3,Thursday,2025-11,238.3,715
Route 6 Dixie Dr South,3,Thursday,2025-11,90.0,270
Route 5 Ivins,3,Thursday,2025-11,67.7,203
Route 7 Washington,3,Thursday,2025-11,90.0,270
Route 8 Zion,3,Thursday,2025-11,77.0,231
Route 1 Red Cliffs,4,Friday,2025-11,224.8,899
Route 3 West Side Connector,4,Friday,2025-11,222.0,888
Route 4 Sunset,4,Friday,2025-11,177.2,709
Route 2 Riverside,4,Friday,2025-11,216.2,865
Route 6 Dixie Dr South,4,Friday,2025-11,96.0,384
Route 5 Ivins,4,Friday,2025-11,65.0,260
Route 7 Washington,4,Friday,2025-11,94.8,379
Route 8 Zion,4,Friday,2025-11,78.0,312
Route 1 Red Cliffs,0,Monday,2025-12,250.4,1252
Route 3 West Side Connector,0,Monday,2025-12,257.2,1286
Route 4 Sunset,0,Monday,2025-12,192.8,964
Route 2 Riverside,0,Monday,2025-12,252.6,1263
Route 6 Dixie Dr South,0,Monday,2025-12,97.6,488
Route 5 Ivins,0,Monday,2025-12,74.6,373
Route 7 Washington,0,Monday,2025-12,102.4,512
Route 8 Zion,0,Monday,2025-12,91.8,459
Route 1 Red Cliffs,1,Tuesday,2025-12,228.2,1141
Route 3 West Side Connector,1,Tuesday,2025-12,266.0,1330
Route 4 Sunset,1,Tuesday,2025-12,180.6,903
Route 2 Riverside,1,Tuesday,2025-12,236.0,1180
Route 6 Dixie Dr South,1,Tuesday,2025-12,94.4,472
Route 5 Ivins,1,Tuesday,2025-12,69.2,346
Route 7 Washington,1,Tuesday,2025-12,87.4,437
Route 8 Zion,1,Tuesday,2025-12,82.4,412
Route 1 Red Cliffs,2,Wednesday,2025-12,227.4,1137
Route 3 West Side Connector,2,Wednesday,2025-12,242.4,1212
Route 4 Sunset,2,Wednesday,2025-12,174.2,871
Route 2 Riverside,2,Wednesday,2025-12,222.4,1112
Route 6 Dixie Dr South,2,Wednesday,2025-12,98.2,491
Route 5 Ivins,2,Wednesday,2025-12,71.8,359
Route 7 Washington,2,Wednesday,2025-12,91.2,456
Route 8 Zion,2,Wednesday,2025-12,83.2,416
Route 1 Red Cliffs,3,Thursday,2025-12,236.3,709
Route 3 West Side Connector,3,Thursday,2025-12,266.7,800
Route 4 Sunset,3,Thursday,2025-12,187.0,561
Route 2 Riverside,3,Thursday,2025-12,251.3,754
Route 6 Dixie Dr South,3,Thursday,2025-12,95.0,285
Route 5 Ivins,3,Thursday,2025-12,71.3,214
Route 7 Washington,3,Thursday,2025-12,95.0,285
Route 8 Zion,3,Thursday,2025-12,81.3,244
Route 1 Red Cliffs,4,Friday,2025-12,232.8,931
Route 3 West Side Connector,4,Friday,2025-12,229.8,919
Route 4 Sunset,4,Friday,2025-12,183.2,733
Route 2 Riverside,4,Friday,2025-12,223.8,895
Route 6 Dixie Dr South,4,Friday,2025-12,99.2,397
Route 5 Ivins,4,Friday,2025-12,67.2,269
Route 7 Washington,4,Friday,2025-12,98.0,392
Route 8 Zion,4,Friday,2025-12,80.8,323
Route 1 Red Cliffs,5,Saturday,2025-12,184.2,737
Route 3 West Side Connector,5,Saturday,2025-12,206.5,826
Route 4 Sunset,5,Saturday,2025-12,139.8,559
Route 2 Riverside,5,Saturday,2025-12,207.0,828
Route 6 Dixie Dr South,5,Saturday,2025-12,76.5,306
Route 5 Ivins,5,Saturday,2025-12,54.8,219
Route 7 Washington,5,Saturday,2025-12,82.0,328
Route 8 Zion,5,Saturday,2025-12,77.2,309
Route 1 Red Cliffs,4,Friday,2026-01,232.6,1163
Route 3 West Side Connector,4,Friday,2026-01,229.8,1149
Route 4 Sunset,4,Friday,2026-01,183.4,917
Route 2 Riverside,4,Friday,2026-01,223.6,1118
Route 6 Dixie Dr South,4,Friday,2026-01,99.2,496
Route 5 Ivins,4,Friday,2026-01,67.2,336
Route 7 Washington,4,Friday,2026-01,98.0,490
Route 8 Zion,4,Friday,2026-01,80.8,404
Route 1 Red Cliffs,5,Saturday,2026-01,177.0,885
Route 3 West Side Connector,5,Saturday,2026-01,198.4,992
Route 4 Sunset,5,Saturday,2026-01,134.4,672
Route 2 Riverside,5,Saturday,2026-01,199.0,995
Route 6 Dixie Dr South,5,Saturday,2026-01,73.6,368
Route 5 Ivins,5,Saturday,2026-01,52.8,264
Route 7 Washington,5,Saturday,2026-01,78.8,394
Route 8 Zion,5,Saturday,2026-01,74.2,371
Route 1 Red Cliffs,0,Monday,2026-01,221.5,886
Route 3 West Side Connector,0,Monday,2026-01,227.5,910
Route 4 Sunset,0,Monday,2026-01,170.8,683
Route 2 Riverside,0,Monday,2026-01,223.5,894
Route 6 Dixie Dr South,0,Monday,2026-01,86.2,345
Route 5 Ivins,0,Monday,2026-01,66.0,264
Route 7 Washington,0,Monday,2026-01,90.8,363
Route 8 Zion,0,Monday,2026-01,81.2,325
Route 1 Red Cliffs,1,Tuesday,2026-01,240.0,960
Route 3 West Side Connector,1,Tuesday,2026-01,280.0,1120
Route 4 Sunset,1,Tuesday,2026-01,190.2,761
Route 2 Riverside,1,Tuesday,2026-01,248.5,994
Route 6 Dixie Dr South,1,Tuesday,2026-01,99.5,398
Route 5 Ivins,1,Tuesday,2026-01,73.0,292
Route 7 Washington,1,Tuesday,2026-01,92.0,368
Route 8 Zion,1,Tuesday,2026-01,86.8,347
Route 1 Red Cliffs,2,Wednesday,2026-01,230.8,923
Route 3 West Side Connector,2,Wednesday,2026-01,245.8,983
Route 4 Sunset,2,Wednesday,2026-01,176.8,707
Route 2 Riverside,2,Wednesday,2026-01,225.5,902
Route 6 Dixie Dr South,2,Wednesday,2026-01,99.5,398
Route 5 Ivins,2,Wednesday,2026-01,72.8,291
Route 7 Washington,2,Wednesday,2026-01,92.5,370
Route 8 Zion,2,Wednesday,2026-01,84.2,337
Route 1 Red Cliffs,3,Thursday,2026-01,230.8,923
Route 3 West Side Connector,3,Thursday,2026-01,260.5,1042
Route 4 Sunset,3,Thursday,2026-01,182.8,731
Route 2 Riverside,3,Thursday,2026-01,245.5,982
Route 6 Dixie Dr South,3,Thursday,2026-01,92.8,371
Route 5 Ivins,3,Thursday,2026-01,69.8,279
Route 7 Washington,3,Thursday,2026-01,92.8,371
Route 8 Zion,3,Thursday,2026-01,79.5,318
Route 8 Zion,6,Sunday,2025-06,3.0,3
Route 1 Red Cliffs,0,Monday,2026-02,246.0,984
Route 3 West Side Connector,0,Monday,2026-02,252.8,1011
Route 4 Sunset,0,Monday,2026-02,189.5,758
Route 2 Riverside,0,Monday,2026-02,248.2,993
Route 6 Dixie Dr South,0,Monday,2026-02,95.8,383
Route 5 Ivins,0,Monday,2026-02,73.2,293
Route 7 Washington,0,Monday,2026-02,100.8,403
Route 8 Zion,0,Monday,2026-02,90.2,361
Route 1 Red Cliffs,1,Tuesday,2026-02,250.0,1000
Route 3 West Side Connector,1,Tuesday,2026-02,291.5,1166
Route 4 Sunset,1,Tuesday,2026-02,198.0,792
Route 2 Riverside,1,Tuesday,2026-02,259.0,1036
Route 6 Dixie Dr South,1,Tuesday,2026-02,103.5,414
Route 5 Ivins,1,Tuesday,2026-02,76.0,304
Route 7 Washington,1,Tuesday,2026-02,96.0,384
Route 8 Zion,1,Tuesday,2026-02,90.2,361
Route 1 Red Cliffs,2,Wednesday,2026-02,226.8,907
Route 3 West Side Connector,2,Wednesday,2026-02,241.8,967
Route 4 Sunset,2,Wednesday,2026-02,173.8,695
Route 2 Riverside,2,Wednesday,2026-02,221.8,887
Route 6 Dixie Dr South,2,Wednesday,2026-02,98.0,392
Route 5 Ivins,2,Wednesday,2026-02,71.5,286
Route 7 Washington,2,Wednesday,2026-02,91.0,364
Route 8 Zion,2,Wednesday,2026-02,83.0,332
Route 1 Red Cliffs,3,Thursday,2026-02,231.5,926
Route 3 West Side Connector,3,Thursday,2026-02,261.5,1046
Route 4 Sunset,3,Thursday,2026-02,183.2,733
Route 2 Riverside,3,Thursday,2026-02,246.5,986
Route 6 Dixie Dr South,3,Thursday,2026-02,93.0,372
Route 5 Ivins,3,Thursday,2026-02,70.0,280
Route 7 Washington,3,Thursday,2026-02,93.2,373
Route 8 Zion,3,Thursday,2026-02,79.8,319
Route 1 Red Cliffs,4,Friday,2026-02,237.0,948
Route 3 West Side Connector,4,Friday,2026-02,234.0,936
Route 4 Sunset,4,Friday,2026-02,186.8,747
Route 2 Riverside,4,Friday,2026-02,228.0,912
Route 6 Dixie Dr South,4,Friday,2026-02,101.0,404
Route 5 Ivins,4,Friday,2026-02,68.5,274
Route 7 Washington,4,Friday,2026-02,100.0,400
Route 8 Zion,4,Friday,2026-02,82.2,329
Route 1 Red Cliffs,5,Saturday,2026-02,185.2,741
Route 3 West Side Connector,5,Saturday,2026-02,207.8,831
Route 4 Sunset,5,Saturday,2026-02,140.8,563
Route 2 Riverside,5,Saturday,2026-02,208.2,833
Route 6 Dixie Dr South,5,Saturday,2026-02,77.0,308
Route 5 Ivins,5,Saturday,2026-02,55.2,221
Route 7 Washington,5,Saturday,2026-02,82.5,330
Route 8 Zion,5,Saturday,2026-02,77.5,310
Route 1 Red Cliffs,0,Monday,2026-03,272.8,1364
Route 1 Red Cliffs,1,Tuesday,2026-03,267.0,1335
Route 1 Red Cliffs,2,Wednesday,2026-03,254.0,1016
Route 1 Red Cliffs,3,Thursday,2026-03,274.5,1098
Route 1 Red Cliffs,4,Friday,2026-03,276.2,1105
Route 1 Red Cliffs,5,Saturday,2026-03,236.5,946
Route 3 West Side Connector,0,Monday,2026-03,256.0,1280
Route 3 West Side Connector,1,Tuesday,2026-03,287.2,1436
Route 3 West Side Connector,2,Wednesday,2026-03,254.2,1017
Route 3 West Side Connector,3,Thursday,2026-03,277.0,1108
Route 3 West Side Connector,4,Friday,2026-03,252.0,1008
Route 3 West Side Connector,5,Saturday,2026-03,216.0,864
Route 4 Sunset,0,Monday,2026-03,162.4,812
Route 4 Sunset,1,Tuesday,2026-03,151.4,757
Route 4 Sunset,2,Wednesday,2026-03,157.8,631
Route 4 Sunset,3,Thursday,2026-03,151.8,607
Route 4 Sunset,4,Friday,2026-03,156.8,627
Route 4 Sunset,5,Saturday,2026-03,130.5,522
Route 2 Riverside,0,Monday,2026-03,204.0,1020
Route 2 Riverside,1,Tuesday,2026-03,218.2,1091
Route 2 Riverside,2,Wednesday,2026-03,245.8,983
Route 2 Riverside,3,Thursday,2026-03,229.8,919
Route 2 Riverside,4,Friday,2026-03,201.8,807
Route 2 Riverside,5,Saturday,2026-03,181.5,726
Route 6 Dixie Dr South,0,Monday,2026-03,83.2,416
Route 6 Dixie Dr South,1,Tuesday,2026-03,92.4,462
Route 6 Dixie Dr South,2,Wednesday,2026-03,76.8,307
Route 6 Dixie Dr South,3,Thursday,2026-03,90.5,362
Route 6 Dixie Dr South,4,Friday,2026-03,70.5,282
Route 6 Dixie Dr South,5,Saturday,2026-03,85.8,343
Route 5 Ivins,0,Monday,2026-03,120.8,604
Route 5 Ivins,2,Wednesday,2026-03,109.5,438
Route 5 Ivins,3,Thursday,2026-03,122.5,490
Route 5 Ivins,5,Saturday,2026-03,111.5,446
Route 5 Ivins,4,Friday,2026-03,105.8,423
Route 5 Ivins,1,Tuesday,2026-03,127.6,638
Route 7 Washington,0,Monday,2026-03,75.6,378
Route 7 Washington,1,Tuesday,2026-03,80.8,404
Route 7 Washington,2,Wednesday,2026-03,77.8,311
Route 7 Washington,3,Thursday,2026-03,82.0,328
Route 7 Washington,4,Friday,2026-03,81.5,326
Route 7 Washington,5,Saturday,2026-03,78.2,313
Route 8 Zion,0,Monday,2026-03,115.2,576
Route 8 Zion,1,Tuesday,2026-03,101.6,508
Route 8 Zion,2,Wednesday,2026-03,98.8,395
Route 8 Zion,3,Thursday,2026-03,98.0,392
Route 8 Zion,4,Friday,2026-03,100.2,401
Route 8 Zion,5,Saturday,2026-03,90.5,362
